year,Accident title,Date,Location,Coordinates,Cause,Deaths,Latitude,Longitude,Causetype
1974,Zagreb Train Disaster,"30, August, 1974","Zagreb, Grad Zagreb, Hrvatska",45.8049;15.9884,excessive speed,153,45.8049,15.9884,Excessive Speed
1975,Moorgate Tube Crash,"28, February, 1975","Moorgate, Barbican Highwalks, Barbican, City of London, Greater London, England, EC2Y 9AA, United Kingdom",51.5182516;-0.0890625,driver failed to stop,43,51.5182516,-0.0890625,Human Error
1975,Nuneaton Rail Crash,"6, June, 1975","Nuneaton, Nuneaton and Bedworth, Warwickshire, West Midlands, England, CV11 5AB, United Kingdom",52.5246182;-1.4684488,overspeed on temporary trackdriver error,6,52.5246182,-1.4684488,Excessive Speed
1975,Žasliai Railway Disaster,"4, April, 1975",Žaslių Gs ,54.83472;24.59389,collision with a cargo train,20,54.83472,24.59389,Other
1976,Schiedam Train Disaster,"4, May, 1976","Schiedam, Zuid-Holland, Nederland",51.9300454;4.386451052615731,error by the chief conductorand the driver of stoptrein ,24,51.9300454,4.386451052615731,Human Error
1977,Chicago Loop Derailment,"4, February, 1977","Chicago, Cook County, Illinois, United States",41.8755616;-87.6244212,driver error,11,41.8755616,-87.6244212,Human Error
1977,Granville Rail Disaster,"18, January, 1977","Granville, Sydney, Cumberland City Council, New South Wales, 2142, Australia",-33.8345097;151.0060111,poor track maintenance,83,-33.8345097,151.0060111,Technical Error
1977,Iri Station Explosion,"11, November, 1977","Iri, Now Iksan",35.94062;126.94636,missing info,57,35.94062,126.94636,Cause information missing
1978,Taunton Sleeping Car Fire,"6, July, 1978","Taunton, Somerset West and Taunton, Somerset, South West England, England, TA1 1JD, United Kingdom",51.0147895;-3.1029086,obstructed electric heater,12,51.0147895,-3.1029086,Other
1978,"Waverly, Tennessee, Tank Car Explosion","February, 1978","Waverly, Tennessee. Mi  West From Nashville",36.087;-87.792,tank car boiling liquid expanding vapor explosion  two days following a derailment,16,36.087,-87.792,Derailment
1979,"Harvey, Illinois Train Collision","12, October, 1979","Harvey, Thornton Township, Cook County, Illinois, 60426, United States",41.606917;-87.644472,changing a switch erroneously due to confusion of switchman,2,41.606917,-87.644472,Other
1979,Invergowrie Rail Accident,"22, October, 1979","Invergowrie, Perth and Kinross, Scotland, DD2 5AX, United Kingdom",56.458;-3.054,signal passed at danger,5,56.458,-3.054,Signalling Error
1979,Mississauga Train Derailment,"10, November, 1979","Mississauga, Peel Region, Golden Horseshoe, Ontario, Canada",43.571;-79.6401,overheated journal bearing,0,43.571,-79.6401,Other
1979,Nijmegen Train Collision,"28, August, 1979","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia",51.832;5.8378,missing info,8,51.832,5.8378,Cause information missing
1979,Paisley Gilmour Street Rail Accident,"16, April, 1979","Paisley, Renfrewshire, Scotland, PA1 1DG, United Kingdom",55.847;-4.425,signal passed at danger,7,55.847,-4.425,Signalling Error
1980,Buttevant Rail Disaster,"1, August, 1980","Buttevant, The Municipal District of Kanturk – Mallow, County Cork, Munster, P51 NW93, Éire / Ireland",52.2331;-8.6669,express sent into sidings as points not interlocked,18,52.2331,-8.6669,Other
1980,Otłoczyn Railway Accident,"19, August, 1980","Otłoczyn, gmina Aleksandrów Kujawski, powiat aleksandrowski, województwo kujawsko-pomorskie, 87-700, Polska",52.9073321;18.7283081,freight train driver error,67,52.9073321,18.7283081,Human Error
1980,Winsum Train Collision,"25, July, 1980","Winsum, Het Hogeland, Groningen, Nederland",53.31778;6.52806,missing info,9,53.31778,6.52806,Cause information missing
1981,Chengdu–Kunming Rail Crash,"9, July, 1981","甘洛县, 凉山彝族自治州, 四川省, 中国",28.9759982;102.7745431,mudslide,300,28.9759982,102.7745431,Other
1981,Brandsen Rail Disaster,"8, March, 1981","Brandsen, Partido de Brandsen, Buenos Aires, 1980, Argentina",-35.1679404;-58.2373799,points failure,34,-35.1679404,-58.2373799,Other
1981,Osieck Rail Crash,"4, June, 1981",Osieck Railway Station,Osieck Railway Station,signal passed at danger,25,,,Signalling Error
1981,Seer Green Rail Crash,"11, December, 1981","Seer Green, Jordans, Seer Green, Buckinghamshire, South East England, England, United Kingdom",51.6045;-0.5973,signaller incorrectly authorised driver to pass signal at danger,4,51.6045,-0.5973,Signalling Error
1982,Bouhalouane Train Crash,"27, January, 1982","Bouhalouane, Chlef Province","Bouhalouane, Chlef Province",brake failure,131,,,Brake Failure/Error
1982,Washington Metro Train Derailment,"13, January, 1982","Between Federal Triangle And Smithsonian Stations, Washington, D.C.","Between Federal Triangle And Smithsonian Stations, Washington, D.C.",operator error,3,,,Human Error
1983,Wrawby Junction Rail Crash,"9, December, 1983","Wrawby Junction, Marsh Lane, Barnetby le Wold, North Lincolnshire, Yorkshire and the Humber, England, DN38 6DJ, United Kingdom",53.5701;-0.4197,signalling error,1,53.5701,-0.4197,Signalling Error
1984,Eccles Rail Crash,"4, December, 1984","Eccles, Salford, Greater Manchester, North West England, England, M30 0PW, United Kingdom",53.4840887;-2.3375175,drivers error,3,53.4840887,-2.3375175,Human Error
1984,Polmont Rail Accident,"30, July, 1984",West Of Polmont. Mi  West-Northwest From Edinburgh,55.9845;-3.745,obstruction on line,13,55.9845,-3.745,Track/Rail Error
1984,Rail Accidents At Morpeth,"25, March, 1984","Morpeth, Northumberland, North East England, England, United Kingdom",55.1675437;-1.6907444,defective track,5,55.1675437,-1.6907444,Track/Rail Error
1984,Wembley Central Rail Crash,"11, October, 1984","Wembley, London, Greater London, England, HA9 7BP, United Kingdom",51.5531547;-0.2957562,signal passed at danger,3,51.5531547,-0.2957562,Signalling Error
1985,Moimenta-Alcafache Train Crash,"11, September, 1985","Moimenta de Maceira Dão, Moimenta de Maceira Dão e Lobelhe do Mato, Mangualde, Viseu, 3530-310, Portugal",40.56167;-7.82056,missing info,99,40.56167,-7.82056,Cause information missing
1986,Colwich Rail Crash,"19, September, 1986","Colwich Junction, Main Road, Colwich, Little Haywood, Stafford, Staffordshire, West Midlands, England, ST17, United Kingdom",52.7885023;-1.9872889,drivers error,1,52.7885023,-1.9872889,Human Error
1986,Hinton Train Collision,"8, February, 1986","Dalehurst, Alberta",53.49645;-117.3697, locomotive engineer,23,53.49645,-117.3697,Technical Error
1986,Queronque Rail Accident,"17, February, 1986","Limache, Marga Marga Province","Limache, Marga Marga Province",negligence,58,,,Other
1987,Bintaro Train Crash,"19, October, 1987","Bintaro, Pesanggrahan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia",-6.2682262;106.7648364,human error,139,-6.2682262,106.7648364,Human Error
1987,Glanrhyd Bridge Collapse,"19, October, 1987","Llandeilo, Sir Gaerfyrddin / Carmarthenshire, Cymru / Wales, SA19, United Kingdom",51.8853935;-3.9925144,bridge swept away,4,51.8853935,-3.9925144,Bridge Failure
1987,Kamensk-Shakhtinsky Rail Disaster,"7, August, 1987","Каменск-Шахтинский, городской округ Каменск-Шахтинский, Ростовская область, Южный федеральный округ, Россия",48.3210807;40.2650679,brake failure,106,48.3210807,40.2650679,Brake Failure/Error
1987,Maryland Train Collision,"4, January, 1987","Chase, Baltimore County, Maryland, 21027, United States",39.37639;-76.35694,engineer error,16,39.37639,-76.35694,Human Error
1988,Sorø Derailment,"25, April, 1988","Sorø, Sorø Kommune, 4180, Danmark",55.417917;11.55556,high speed,8,55.417917,11.55556,Excessive Speed
1988,Arzamas Train Disaster,"4, June, 1988","Арзамас-1, Станционная улица, Арзамас 1, Арзамас, городской округ Арзамас, Нижегородская область, Приволжский федеральный округ, 607226, Россия",55.4092364;43.789971,missing info,91,55.4092364,43.789971,Cause information missing
1988,Clapham Junction Rail Crash,"12, December, 1988","Clapham Junction, Grant Road, Clapham Junction, London Borough of Wandsworth, London, Greater London, England, SW11 2, United Kingdom",51.4644589;-0.1705184,unprotected wrongside failure,35,51.4644589,-0.1705184,Other
1988,Forst Zinna Rail Disaster,"19, January, 1988","Forst Zinna, Neue Häuser, Kloster Zinna, Jüterbog, Teltow-Fläming, Brandenburg, 14913, Deutschland",52.0440567;13.1192976,missing info,6,52.0440567,13.1192976,Cause information missing
1988,Gare De Lyon Rail Accident,"27, June, 1988",Paris-Gare De Lyon Rail Station,Paris-Gare De Lyon Rail Station,disabling of braking system caused by driver error,56,,,Brake Failure/Error
1988,Peruman Railway Accident,"8, July, 1988","Ashtamudi Lake, Kollam District, Kerala",9.11667;76.48333,unknown,105,9.11667,76.48333,Other
1989,Helena Train Wreck,"2, February, 1989","Helena, Lewis and Clark County, Montana, United States",46.5927425;-112.036277,failure of train crew to set brakes properly,0,46.5927425,-112.036277,Brake Failure/Error
1989,Glasgow Bellgrove Rail Accident,"6, March, 1989","Bellgrove, Reidvale Street, Bellgrove, Mile-end, Glasgow, Glasgow City, Scotland, G31, United Kingdom",55.8568044;-4.2245767,signal passed at danger,2,55.8568044,-4.2245767,Signalling Error
1989,Purley Station Rail Crash,"4, March, 1989","Purley, London Borough of Croydon, London, Greater London, England, CR8 2FQ, United Kingdom",51.3385156;-0.115893,signal passed at danger,5,51.3385156,-0.115893,Signalling Error
1989,San Bernardino Train Disaster,"12, May, 1989","San Bernardino County, California, United States",34.1375;-117.34417,train derailment train weight miscalculated and several locomotives with inoperative dynamic brakespipeline rupture undetected damage to pipeline during cleanup,6,34.1375,-117.34417,Technical Error
1989,San Rafael River Train Wreck,"10, August, 1989","Guasave, Sinaloa, México",25.5046381;-108.539960314508,missing info,112,25.5046381,-108.539960314508,Cause information missing
1989,Ufa Train Disaster,"4, June, 1989","Iglinsky District, Bashkir Assr",54.94389;57.08611,missing info,575,54.94389,57.08611,Cause information missing
1990,"Back Bay, Massachusetts Train Collision","12, December, 1990","Back Bay, Boston, Suffolk County, Massachusetts, United States",42.3473;-71.0755,excessive speed,0,42.3473,-71.0755,Excessive Speed
1990,Cowan Rail Accident,"6, May, 1990","Hawkesbury River, Dangar Road, Brooklyn, Sydney, The Council of the Shire of Hornsby, New South Wales, 2083, Australia",-33.55432;151.19633,signaling fault,6,-33.55432,151.19633,Signalling Error
1990,Rüsselsheim Train Disaster,"2, February, 1990","Rüsselsheim, Rüsselsheim am Main, Kreis Groß-Gerau, Hessen, 65428, Deutschland",49.991701;8.4138251,missing info,17,49.991701,8.4138251,Cause information missing
1990,Sukkur Rail Disaster,"4, January, 1990","سکھر, سندھ, پاکستان",27.6961883;68.8588754,incorrectly set points,307,27.6961883,68.8588754,Other
1990,Ursus Rail Crash,"20, August, 1990",Warszawa Ursus Railway Station,Warszawa Ursus Railway Station,signal fault,16,,,Signalling Error
1991,Miaoli Train Collision,"15, November, 1991","造橋鄉, 苗栗縣, 臺灣省, 361, 臺灣",24.66611;120.83472,missing info,30,24.66611,120.83472,Cause information missing
1991,Cannon Street Station Rail Crash,"8, January, 1991","London Cannon Street, Upper Thames Street, Vintry, City of London, Greater London, England, EC4R 2GA, United Kingdom",51.5106685;-0.0906046,drivers error,2,51.5106685,-0.0906046,Human Error
1991,Newton (South Lanarkshire) Rail Accident,"21, July, 1991","Newton, Newton Brae, Newton, Cambuslang, South Lanarkshire, Scotland, G72 6ZP, United Kingdom",55.8188416;-4.1331949,spad,4,55.8188416,-4.1331949,Other
1991,Severn Tunnel Rail Accident,"7, December, 1991","Severn Tunnel, M49, Lawrence Weston, Bristol, City of Bristol, South West England, England, BS11 0, United Kingdom",51.5827163;-2.7106337,axle counter failure or driver error,0,51.5827163,-2.7106337,Technical Error
1991,Shigaraki Train Disaster,"14, May, 1991","信楽町, 甲賀市, 滋賀県, 529-1851, 日本",34.8779829;136.0586087,signal passed at danger,42,34.8779829,136.0586087,Signalling Error
1991,Union Square Derailment,"28, August, 1991",North Of Th Street–Union Square,40.73602;-73.98952,intoxication,5,40.73602,-73.98952,Other
1992,Hoofddorp Train Accident,"30, November, 1992","Hoofddorp, Haarlemmermeer, Noord-Holland, Nederland, 2131CR, Nederland",52.3055506;4.6926655,high speed due to insufficient communication with operator,5,52.3055506,4.6926655,Excessive Speed
1992,Podsosenka Train Disaster,"3, March, 1992","Нелидово, Нелидовский городской округ, Тверская область, Центральный федеральный округ, 172500, Россия",56.226097;32.771111,signal passed at danger,43,56.226097,32.771111,Signalling Error
1992,Rail Accidents At Morpeth,"25, March, 1992","Morpeth, Northumberland, North East England, England, United Kingdom",55.1675437;-1.6907444,defective track,5,55.1675437,-1.6907444,Track/Rail Error
1992,Tåsen Accident,"24, February, 1992","Between Tåsen And Østhorn Stations At Nordberg, Oslo","Between Tåsen And Østhorn Stations At Nordberg, Oslo",missing info,1,,,Cause information missing
1993,Big Bayou Canot Rail Accident,"22, September, 1993","Mobile Street, Baldwin County, Alabama, United States",30.8173;-87.9932,barge collision with bridge ,47,30.8173,-87.9932,Bridge Failure
1993,Clementi Rail Accident,"5, August, 1993","Bridge inside Clement MRT Station that connects to Clementi Mall, Clementi, Southwest, 129588, Singapore",1.3153028;103.7652444,oil spill leading to reduced braking power,Unknows number of deaths,1.3153028,103.7652444,Brake Failure/Error
1994,Cowden Rail Crash,"15, October, 1994","Cowden, Blowers Hill, Cowden, Mark Beech, Sevenoaks, Kent, South East England, England, TN8 7DS, United Kingdom",51.1556295;0.1098981,spad caused by driver error,5,51.1556295,0.1098981,Human Error
1994,Greenock Rail Crash,"25, June, 1994","Drumfrochar, Lemmon Street, Overton, Greenock, Inverclyde, Scotland, PA15 4HT, United Kingdom",55.9411705;-4.7721639,vandalism,2,55.9411705,-4.7721639,Other
1994,Rail Accidents At Morpeth,"25, March, 1994","Morpeth, Northumberland, North East England, England, United Kingdom",55.1675437;-1.6907444,defective track,5,55.1675437,-1.6907444,Track/Rail Error
1995,Ais Gill Rail Accident,"31, January, 1995","Aisgill, Mallerstang, Eden, Cumbria, North West England, England, CA17 4JY, United Kingdom",54.3689985;-2.3473114,line obstructed by landslide,1,54.3689985,-2.3473114,Track/Rail Error
1995,Firozabad Rail Disaster,"20, August, 1995","Firozabad, Uttar Pradesh, India",27.17736635;78.38991197951182,missing info,358,27.17736635,78.38991197951182,Cause information missing
1995,Fox River Grove Bus–Train Collision,"25, October, 1995","Fox River Grove, McHenry County, Illinois, 60021, United States",42.197;-88.217778,bus driver misjudgementtraffic signal timing,7,42.197,-88.217778,Signalling Error
1995,Garmisch-Partenkirchen Train Collision,"12, December, 1995","Garmisch-Partenkirchen, Landkreis Garmisch-Partenkirchen, Bayern, Deutschland",47.4923741;11.0962815,spad whilst departing,1,47.4923741,11.0962815,Other
1995,Krouna Train Accident,"24, June, 1995","Krouna, okres Chrudim, Pardubický kraj, Severovýchod, 53943, Česko",49.78833;16.03306,missing info,19,49.78833,16.03306,Cause information missing
1995,Mishima Station Incident,"27, December, 1995","三島市, 静岡県, 日本",35.1263389;138.9111639,passenger negligence,1,35.1263389,138.9111639,Other
1995,Russell Hill Subway Accident,"11, August, 1995","Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada",43.6534817;-79.3839347,operator error,3,43.6534817,-79.3839347,Human Error
1995,Williamsburg Bridge Subway Collision,"5, June, 1995","Williamsburg Bridge, Broome Street, Manhattan Community Board 3, Manhattan, New York County, New York, 10002, United States",40.71358065;-73.97213629090965,driver failed to stop at a signal because he was asleep,1,40.71358065,-73.97213629090965,Signalling Error
1996,Dniprodzerzhynsk Tram Accident,"2, July, 1996","Кам’янське, Кам'янська міська громада, Кам'янський район, Дніпропетровська область, 51900-51989, Україна",48.499917;34.636778,brake failure,34,48.499917,34.636778,Brake Failure/Error
1996,Secaucus Train Collision,"9, February, 1996","Secaucus, Hudson County, New Jersey, United States",40.7520167;-74.0699167,signal passed at danger due to color blindness of train engineer,3,40.7520167,-74.0699167,Signalling Error
1996,Stafford Rail Crash,"8, March, 1996","Stafford, Staffordshire, West Midlands, England, United Kingdom",52.8063157;-2.1163818,axle failure,1,52.8063157,-2.1163818,Technical Error
1996,Channel Tunnel Fire,"18, November, 1996",Channel Tunnel Mi  North West From Sangatte,Channel Tunnel Mi  North West From Sangatte,missing info,0,,,Cause information missing
1996,Hines Hill Train Collision,"14, January, 1996","Hines Hill, Shire Of Merredin, Western Australia, Australia",-31.5355001;118.0772968,signal passed at danger,2,-31.5355001,118.0772968,Signalling Error
1996,Jokela Rail Accident,"21, April, 1996","Jokela, Asemanraitti, Jokela, Tuusula, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 05400, Suomi / Finland",60.55444;24.96722,excessive speed,4,60.55444,24.96722,Excessive Speed
1996,Maryland Train Collision,"16, February, 1996","Silver Spring International Middle School, Wayne Avenue, Queen Annes, Silver Spring, Montgomery County, Maryland, 20910, United States",39.0008;-77.0423,signal passed at danger due to driver error of the marc train,11,39.0008,-77.0423,Signalling Error
1996,Watford Rail Crash,"8, August, 1996","Watford, Hertfordshire, East of England, England, United Kingdom",51.6553875;-0.3957425,signal passed at danger,1,51.6553875,-0.3957425,Signalling Error
1996,"Weyauwega, Wisconsin, Derailment","4, March, 1996","Weyauwega, Waupaca County, Wisconsin, 54983, United States",44.329861;-88.933222,missing info,0,44.329861,-88.933222,Cause information missing
1997,Southall Rail Crash,"19, September, 1997","Southall, London, Greater London, England, UB1 1SG, United Kingdom",51.5111461;-0.3755169,signal passed at danger,7,51.5111461,-0.3755169,Signalling Error
1998,Eschede Derailment,"3, June, 1998","Celle, Landkreis Celle, Niedersachsen, Deutschland",52.624056;10.081052,wheel disintegration,101,52.624056,10.081052,Technical Error
1998,Fatuha Train Crash,"4, April, 1998","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia",46.3144754;11.0480288,removal of fishplates,12,46.3144754,11.0480288,Other
1998,Jyväskylä Rail Accident,"6, March, 1998","Jyväskylä, Jyväskylän seutukunta, Keski-Suomi, Länsi- ja Sisä-Suomen aluehallintovirasto, Manner-Suomi, 40100, Suomi / Finland",62.2393002;25.745951,excessive speed,10,62.2393002,25.745951,Excessive Speed
1998,Khanna Rail Disaster,"26, November, 1998","Khanna, Mahoba, Uttar Pradesh, 210504, India",25.5656914;80.0634887,broken rail,212,25.5656914,80.0634887,Track/Rail Error
1998,Suonenjoki Rail Collision,"12, August, 1998","Suonenjoki, Sisä-Savon seutukunta, Pohjois-Savo, Itä-Suomen aluehallintovirasto, Manner-Suomi, Suomi / Finland",62.6241926;27.1245609,misinterpretation of signals,0,62.6241926,27.1245609,Signalling Error
1999,Winsford Railway Accident,"23, June, 1999","Winsford, Cheshire West and Chester, North West England, England, United Kingdom",53.1920711;-2.5313108,spad due to human error,0,53.1920711,-2.5313108,Human Error
1999,Wuppertal Schwebebahn Accident,"12, April, 1999","Wuppertal, Nordrhein-Westfalen, Deutschland",51.264018;7.1780374,train struck maintenance equipment left on tracks by rail workers,5,51.264018,7.1780374,Technical Error
1999,"Bourbonnais, Illinois, Train Crash","15, March, 1999","Bourbonnais, Kankakee County, Illinois, 60914, United States",41.184694;-87.853278,vehicle incursion,11,41.184694,-87.853278,Other
1999,Gaisal Train Disaster,"2, August, 1999","Gaisal, NH27, Dhantola, Islampur, Uttar Dinajpur, West Bengal, India",26.1844838;88.0900047,signalling error,285,26.1844838,88.0900047,Signalling Error
1999,Ladbroke Grove Rail Crash,"5, October, 1999","Ladbroke Grove, Westway, Lancaster West Estate, North Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W10 6HJ, United Kingdom",51.525;-0.2175,signal passed at danger,31,51.525,-0.2175,Signalling Error
1999,Winsford Railway Accident,"23, June, 1999","Winsford, Cheshire West and Chester, North West England, England, United Kingdom",53.1920711;-2.5313108,spad due to human error,0,53.1920711,-2.5313108,Human Error
1999,Spa Road Junction Rail Crash,"8, January, 1999","Spa Road Junction, Lucey Way, Bermondsey Spa, Bermondsey, London Borough of Southwark, London, Greater London, England, SE16 3UF, United Kingdom",51.4949598;-0.066816,signal passed at danger caused by driver error,0,51.4949598,-0.066816,Signalling Error
1999,Zanthus Train Collision,"18, August, 1999","Zanthus, City Of Kalgoorlie-Boulder, Western Australia, Australia",-31.030924;123.5697823,driver error,0,-31.030924,123.5697823,Human Error
2000,Naka-Meguro Derailment,"8, March, 2000","中目黒, 上目黒一丁目, 目黒区, 東京都, 153-8573, 日本",35.6441395;139.6988317,missing info,5,35.6441395,139.6988317,Cause information missing
2000,Åsta Accident,"4, January, 2000","Åsta, Åmot, Innlandet, Norge",61.087985;11.259956,missing info,19,61.087985,11.259956,Cause information missing
2000,Brühl Train Derailment,"6, February, 2000","Brühl, Am Inselweiher, Brühl-Ost, Brühl, Rhein-Erft-Kreis, Nordrhein-Westfalen, 50321, Deutschland",50.8292719;6.9126407,misinterpretation of debatable signalling,9,50.8292719,6.9126407,Signalling Error
2000,Hatfield Rail Crash,"17, October, 2000","Hatfield, Welwyn Hatfield, Hertfordshire, East of England, England, United Kingdom",51.75389;-0.22167,broken rail,4,51.75389,-0.22167,Track/Rail Error
2000,Sarai Banjara Train Disaster,"2, December, 2000","Punjab, India",30.5613;76.4802,broken rail,46,30.5613,76.4802,Track/Rail Error
2001,Howard Street Tunnel Fire,"18, July, 2001","Baltimore, Maryland, 21203, United States",39.2877;-76.6193,missing info,0,39.2877,-76.6193,Cause information missing
2001,Kadalundi Train Derailment,"22, June, 2001","Tippusulthan Road, Chaliyam, Kozhikode, Kozhikode district, Kerala, 673302, India",11.12861;75.83139,missing info,59,11.12861,75.83139,Cause information missing
2001,Selby Rail Crash,"28, February, 2001","Great Heck, Selby, North Yorkshire, Yorkshire and the Humber, England, DN14 0BJ, United Kingdom",53.68722;-1.09806,obstruction on line,10,53.68722,-1.09806,Track/Rail Error
2001,Stewiacke Via Derailment,"12, April, 2001","Stewiacke, Town of Stewiacke, Colchester County, Nova Scotia, B0N 2J0, Canada",45.13806;-63.35056,tampered switch,0,45.13806,-63.35056,Other
2002,El Ayyat Railway Accident,"20, February, 2002","العياط, محافظة الجيزة, 12929, مصر",29.6195757;31.2581312,exploding gas cylinder,383,29.6195757,31.2581312,Other
2002,Farragut Derailment,"15, September, 2002","Farragut, Knox County, Tennessee, 37934, United States",35.85389;-84.15889,failure to promptly investigate suspected track damage,0,35.85389,-84.15889,Under Investigation
2002,Igandu Train Collision,"24, June, 2002","Igandu, Chamwino, Dodoma, Central Zone, Tanzania",-6.3583881;36.1407904,missing info,281,-6.3583881,36.1407904,Cause information missing
2002,Kasganj Level Crossing Disaster,"4, June, 2002","Uttar Pradesh, India",27.1303344;80.859666,missing info,49,27.1303344,80.859666,Cause information missing
2002,Minot Train Derailment,"18, January, 2002","Ward County, North Dakota, United States",48.2488309;-101.6242607,joint fatigue,1,48.2488309,-101.6242607,Technical Error
2002,Okuda Incident,"26, September, 2002","稲沢市, 愛知県, 日本",35.240484;136.758964,collision with car on tracks,1,35.240484,136.758964,Track/Rail Error
2002,Potters Bar Rail Accidents,"10, May, 2002","Potters Bar, Hertsmere, Hertfordshire, East of England, England, EN6 2BD, United Kingdom",51.697;-0.194,derailment due to movement of points,7,51.697,-0.194,Derailment
2002,Tenga Rail Disaster,"25, May, 2002","Tenga, Bujumbura Rural, Burundi",-3.3101753;29.4188334,missing info,192,-3.3101753,29.4188334,Cause information missing
2003,Melbourne Runaway Train,"3, February, 2003","Stop 1: Southern Cross Station, Spencer Street, Collins Street, Melbourne, City of Melbourne, Victoria, 3000, Australia",-37.8183;144.9528,driver error,Unknows number of deaths,-37.8183,144.9528,Human Error
2003,Chinchilla Train Collision,"3, June, 2003","Ayuntamiento de Chinchilla de Montearagón, Plaza de la Mancha, Barrio de Triana, Chinchilla de Monte-Aragón, Albacete, Castilla-La Mancha, 02520, España",38.92101725;-1.7247209521595777,human error,19,38.92101725,-1.7247209521595777,Human Error
2003,Dete Train Crash,"1, February, 2003","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia",46.3144754;11.0480288,signaling miscommunication,50,46.3144754,11.0480288,Signalling Error
2003,Waterfall Rail Accident,"31, January, 2003","Waterfall, Sydney, Sutherland Shire Council, Sutherland Shire, New South Wales, 2233, Australia",-34.152096;150.99483,driver lost consciousness due to a myocardial infarction,7,-34.152096,150.99483,Human Error
2004,Derailment Of Joetsu Shinkansen,"20, October, 2004",Between Urasa Station And  Nagaoka Station,Between Urasa Station And  Nagaoka Station, chetsu earthquake,0,,,Environmental Cause
2004,Sri Lanka Tsunami Train Wreck,"26, December, 2004","Turtle Hatchery Hikkaduwa, Colombo-Galle Road, Akurala, ගාල්ල දිස්ත්‍රික්කය, දකුණු පළාත, 80240, ශ්‍රී ලංකාව இலங்கை",6.1633997;80.0905277,tsunami,1300,6.1633997,80.0905277,Other
2004,Cairns Tilt Train Derailment,"15, November, 2004","Berajondo, Gladstone Regional, Queensland, Australia",-24.635497;151.7886272562112,excessive speed,0,-24.635497,151.7886272562112,Excessive Speed
2004,Karanjadi Train Crash,"17, June, 2004","Maharashtra, India",18.9068356;75.6741579,missing info,20,18.9068356,75.6741579,Cause information missing
2004,Nishapur Train Disaster,"18, February, 2004","خیام, بازار تهران, منطقه ۱۲ شهر تهران, شهرداری منطقه شش ناحیه یک, شهر تهران, بخش مرکزی شهرستان تهران, شهرستان تهران, استان تهران, 11148-18547, ایران",36.0987;58.9715,runaway rail cars,295,36.0987,58.9715,Track/Rail Error
2004,Nosaby Level Crossing Accident,"10, September, 2004","Länsväg /Blekinge Kustbana, Level Crossing At Nosaby Church In Kristianstad",56.05139;14.19472,truck stopped at level crossing,2,56.05139,14.19472,Other
2004,Tebay Rail Accident,"15, February, 2004","Tebay, Eden, Cumbria, North West England, England, United Kingdom",54.4196556;-2.5987306,brake failure as result of gross negligence,4,54.4196556,-2.5987306,Brake Failure/Error
2004,Ufton Nervet Rail Crash,"6, November, 2004","Ufton Nervet, West Berkshire, South East England, England, United Kingdom",51.4022547;-1.0888664,obstruction on line,7,51.4022547,-1.0888664,Track/Rail Error
2005,Ghotki Rail Crash,"13, July, 2005","گھوٹکی, Ghotki Khanpur Road, Muhammad Chhuttal Mahar, عادل پور, سندھ, پاکستان",27.9939917;69.3134549,incorrectly set pointssignal malfunction,100,27.9939917,69.3134549,Signalling Error
2005,Phú Lộc Derailment,"12, March, 2005","Phú Lộc, Tỉnh Thừa Thiên Huế, 52000, Việt Nam",16.2;108.133,speeding,11,16.2,108.133,Excessive Speed
2005,Amagasaki Derailment,"25, April, 2005","尼崎市, 兵庫県, 日本",34.741472;135.426583,overspeed on curve arising from harsh penalties for lateness,107,34.741472,135.426583,Excessive Speed
2005,Eurostar  Derailment,"24, October, 2005","Bari, Puglia, Italia",41.1257843;16.8620293,landslide following severe weather,0,41.1257843,16.8620293,Environmental Cause
2005,Glendale Train Crash,"26, January, 2005","Glendale, Los Angeles County, California, United States",34.1299083;-118.26345,intentional obstruction of line,11,34.1299083,-118.26345,Track/Rail Error
2005,Graniteville Train Crash,"6, January, 2005","Graniteville, Aiken County, South Carolina, 29829, United States",33.5637483;-81.8078887,incorrectly aligned railroad switch,10,33.5637483,-81.8078887,Track/Rail Error
2005,Nagpur Level Crossing Disaster,"3, February, 2005","Maharashtra, India",18.9068356;75.6741579,missing info,58,18.9068356,75.6741579,Cause information missing
2006,Bioče Derailment,"23, January, 2006","Bioče, Glavni grad Podgorica, Crna Gora / Црна Гора",42.5130623;19.3514143,braking system failure,45,42.5130623,19.3514143,Brake Failure/Error
2006,Faure Level Crossing Accident,"13, November, 2006","Faure, Eerste River, Western Cape ","Faure, Eerste River, Western Cape ",missing info,19,,,Cause information missing
2006,Lathen Train Collision,"22, September, 2006","Lathen, Samtgemeinde Lathen, Landkreis Emsland, Niedersachsen, Deutschland",52.8636698;7.3163422,human error,23,52.8636698,7.3163422,Human Error
